
Label=dB(v(Out)/(V(Vid1)-V(Vid2))) vs F
LabelX=F
LabelY=dB(v(Out)/(V(Vid1)-V(Vid2)))
Data Point Count=1001
F,F,F,dB(v(Out)/(V(Vid1)-V(Vid2))),dB(v(Out)/(V(Vid1)-V(Vid2)))
5.5975760149511996E+002, 5.5975760149511996E+002, 0.0000000000000000E+000, 2.7467253608018400E+001, 0.0000000000000000E+000
5.6493697481231243E+002, 5.6493697481231243E+002, 0.0000000000000000E+000, 2.7467253555461145E+001, 0.0000000000000000E+000
5.7016427228075759E+002, 5.7016427228075759E+002, 0.0000000000000000E+000, 2.7467253501926514E+001, 0.0000000000000000E+000
5.7543993733716718E+002, 5.7543993733716718E+002, 0.0000000000000000E+000, 2.7467253447397233E+001, 0.0000000000000000E+000
5.8076441752132246E+002, 5.8076441752132246E+002, 0.0000000000000000E+000, 2.7467253391853276E+001, 0.0000000000000000E+000
5.8613816451403932E+002, 5.8613816451403932E+002, 0.0000000000000000E+000, 2.7467253335276936E+001, 0.0000000000000000E+000
5.9156163417548464E+002, 5.9156163417548464E+002, 0.0000000000000000E+000, 2.7467253277649007E+001, 0.0000000000000000E+000
5.9703528658384766E+002, 5.9703528658384766E+002, 0.0000000000000000E+000, 2.7467253218949800E+001, 0.0000000000000000E+000
6.0255958607436867E+002, 6.0255958607436867E+002, 0.0000000000000000E+000, 2.7467253159159114E+001, 0.0000000000000000E+000
6.0813500127872896E+002, 6.0813500127872896E+002, 0.0000000000000000E+000, 2.7467253098257146E+001, 0.0000000000000000E+000
6.1376200516480549E+002, 6.1376200516480549E+002, 0.0000000000000000E+000, 2.7467253036222612E+001, 0.0000000000000000E+000
6.1944107507679291E+002, 6.1944107507679291E+002, 0.0000000000000000E+000, 2.7467252973034594E+001, 0.0000000000000000E+000
6.2517269277569744E+002, 6.2517269277569744E+002, 0.0000000000000000E+000, 2.7467252908672112E+001, 0.0000000000000000E+000
6.3095734448020505E+002, 6.3095734448020505E+002, 0.0000000000000000E+000, 2.7467252843113098E+001, 0.0000000000000000E+000
6.3679552090792777E+002, 6.3679552090792777E+002, 0.0000000000000000E+000, 2.7467252776334504E+001, 0.0000000000000000E+000
6.4268771731703180E+002, 6.4268771731703180E+002, 0.0000000000000000E+000, 2.7467252708315925E+001, 0.0000000000000000E+000
